timestamp,tag_id,x_pos,y_pos
2.0,4,66.95092925828281,33.9288987225109
2.0,5,51.17588137027643,32.66659226482002
2.0,6,51.66241802351171,6.631293994183702
2.0,8,56.30100852497776,44.71611404950526
2.0,11,58.83848691598198,33.0702213478385
2.0,12,46.86783853689984,20.98823553815174
2.0,14,67.7092395334988,24.94441352549144
2.0,1,65.14729104782946,13.763854754332039
2.0,2,66.33761627983385,44.57675294400984
2.0,10,41.9925,66.4985
2.25,4,66.95170308695208,33.80442034417746
2.25,5,51.17737727622607,31.59387935053336
2.25,6,51.930611576891785,6.609977644282677
2.25,8,56.276341088568984,44.12746770233825
2.25,11,59.068246743097085,32.41599844551584
2.25,12,46.607623724144766,20.17453652019092
2.25,14,67.81883033794745,25.11473293668798
2.25,1,64.99018284093222,13.81195079651466
2.25,2,66.44254355616292,44.41867858429042
2.25,10,41.9925,66.4985
2.5,4,66.96472576160527,33.612108806958155
2.5,5,51.20512846771034,30.576749655192145
2.5,6,52.21137689109298,6.6254304014324505
2.5,8,56.3116244666669,43.6170881017824
2.5,11,59.283839393851544,31.981356991402457
2.5,12,46.23754348907007,19.422475404092303
2.5,14,67.86979163000511,25.22366610798672
2.5,1,64.73412475971637,13.898408581199101
2.5,2,66.57765160982491,44.31647780679124
2.5,10,41.9925,66.4985
2.75,4,66.92775848275008,33.29713062525092
2.75,5,51.23933256073358,29.88938005107982
2.75,6,52.49745981805436,6.669884648759483
2.75,8,56.41774508660014,43.269333712451896
2.75,11,59.45840658778987,31.844302855453464
2.75,12,45.77850812840528,18.85598731925364
2.75,14,67.87580671484088,25.25062326641902
2.75,1,64.55091727632788,14.05202083345176
2.75,2,66.71714346640852,44.26648937955567
2.75,10,41.9925,66.4985
3.0,4,66.79959514820246,32.91263836831648
3.0,5,51.2263896515761,29.68119723020764
3.0,6,52.750862369260304,6.729361902738345
3.0,8,56.57479153244658,43.0740015581092
3.0,11,59.60257302057354,32.02395535244202
3.0,12,45.2446436326115,18.612532564176462
3.0,14,67.83267186880803,25.2200347812996
3.0,1,64.58226381359326,14.283785989520322
3.0,2,66.83055387029852,44.27400800038903
3.0,10,41.9925,66.4985
70.5,4,61.49310864872134,39.629483142248134
70.5,5,41.64812812033706,39.52497175526322
70.5,6,43.59325008890318,16.55281259184062
70.5,8,47.17510223267258,47.75903367020326
70.5,11,53.782804228161616,39.8911079634354
70.5,12,38.886855758467604,28.776471202922142
70.5,14,61.402562219950326,26.753900515147016
70.5,1,61.05314282214844,17.102976363126118
70.5,2,60.01272397320122,47.206836598290046
70.5,10,43.3293,54.0406
70.75,4,61.084659440754194,39.06786947652722
70.75,5,42.2062945643457,39.02718120936944
70.75,6,44.11734165080519,16.29795779332512
70.75,8,47.7019962558316,47.03003832439028
70.75,11,53.80211456135346,39.94206251445084
70.75,12,39.34619511234032,28.270768332552883
70.75,14,61.2531879676805,26.063208166655578
70.75,1,60.97356733819398,16.70166816491266
70.75,2,59.887662500830174,46.534410107241804
70.75,10,43.3293,54.0406
71.0,4,60.87189954939949,38.41239619145472
71.0,5,42.65535771991294,38.6745447126537
71.0,6,44.643275252811485,16.04374789532116
71.0,8,48.261081140021346,46.35506972803646
71.0,11,53.812357799283305,39.91850534427421
71.0,12,39.7098151517379,27.69990261447244
71.0,14,61.043846179905984,25.415106846428777
71.0,1,60.80256648264431,16.22713765216282
71.0,2,59.77704274336344,45.8695184162777
71.0,10,43.3293,54.0406
71.25,4,60.8766403534402,37.65926211726206
71.25,5,43.0137967790886,38.34865773515738
71.25,6,45.21127670760238,15.80651624754066
71.25,8,48.746107429453986,45.793459073008876
71.25,11,53.85571490868266,39.68158065301484
71.25,12,39.98649367491669,27.147361560286942
71.25,14,60.748869618203244,24.810959148184676
71.25,1,60.58906764631706,15.70529540180392
71.25,2,59.690006949857505,45.18029569663272
71.25,10,43.3293,54.0406
71.5,4,61.052318347974094,36.76345444134067
71.5,5,43.209944079023046,38.017157568806624
71.5,6,45.837500200065804,15.56093559181922
71.5,8,49.09578227619914,45.394470333745
71.5,11,53.92382413859074,39.14861434299584
71.5,12,40.214877134227564,26.68871530914448
71.5,14,60.38081532900039,24.24124749963522
71.5,1,60.337793909931825,15.179276903596659
71.5,2,59.66134899083022,44.4488808156749
71.5,10,43.3293,54.0406
71.75,4,61.2992596897826,35.66767183230256
71.75,5,43.307594593155464,37.59353809397876
71.75,6,46.48691057708943,15.252837814134699
71.75,8,49.33451369553738,45.14357641808616
71.75,11,53.995712701956506,38.34672552962888
71.75,12,40.44898389730632,26.34529212760416
71.75,14,59.9626018588555,23.676509583253697
71.75,1,60.052634024920025,14.740129953412076
71.75,2,59.70971844689118,43.656696528918374
71.75,10,43.3293,54.0406
